AddEntryTest,16
SearchEntryByNameTest,4
SearchEntryByUsernameTest,4
SearchEntryByUrlTest,4
SearchEntryByTagsTest,8
SearchEntryByCommentTest,4
SearchEntryByTagListTest,8
EditEntryTest,4
SearchTagsTest,5
RemoveTagsTest,3
CheckEntryTagsRemovedTest,2
RemoveEntryTest,3
SearchEntryNegativeTest,5
SearchTagNegativeTest,2
AddTagTest,5
EditTagTest,5
RemoveTagTest,3
AssignTagToEntryTest,25
AddMultipleEntriesTest,47
SearchMultipleEntriesTest,12
CheckUsedTagsTest,12
SearchAndRemoveMultipleTagsTest,4
RemoveMultipleEntriesTest,5
AddEntryTest,3 
SearchEntryByNameTest,3 
SearchEntryByUsernameTest,3 
SearchEntryByUrlTest,3 
SearchEntryByTagsTest,6 
SearchEntryByCommentTest,3 
SearchEntryByTagListTest,6 
EditEntryTest,1 
SearchTagsTest,4 
RemoveTagsTest,2 
CheckEntryTagsRemovedTest,1 
AddTagTest,2
EditTagTest,1
RemoveTagTest,1
AssignTagToEntryTest,8
AddMultipleEntriesTest,9
SearchMultipleEntriesTest,9
CheckUsedTagsTest,11
SearchAndRemoveMultipleTagsTest,3
RemoveMultipleEntriesTest,3
SearchEntryByTagsTest,2
EditEntryTest,1
SearchTagsTest,1
RemoveEntryTest,1
SearchEntryNegativeTest,4
SearchEntryNegativeTest,4
AssignTagToEntryTest,2
SearchMultipleEntriesTest,3
CheckUsedTagsTest,4
RemoveMultipleEntriesTest,3
SearchEntryByUrlTest,2
SearchEntryByTagListTest,1
EditEntryTest,1
AssignTagToEntryTest,2
SearchMultipleEntriesTest,3
CheckUsedTagsTest,4
RemoveMultipleEntriesTest,3
